ws,wd
5.7,33
4.9,41
4.2,50
4.0,68
3.3,88
2.6,115
2.3,151
2.8,288
4.9,277
5.1,266
4.3,255
3.2,247
2.1,243
1.6,231
1.0,192
2.2,133
3.0,115
3.5,105
4.2,86
3.9,76
4.4,71
3.9,45
5.8,22
6.2,23
6.6,34
6.0,43
5.6,53
5.6,61
2.9,66
2.1,242
3.1,190
2.5,176
2.2,133
2.4,115
2.5,92
4.7,103
5.7,107
6.3,107
7.0,104
7.3,100
7.4,102
8.5,103
8.8,101
8.8,98
8.3,93
8.1,91
8.1,90
7.8,91
7.6,91
7.9,90
9.4,87
10.8,98
11.7,105
11.0,105
11.1,105
10.5,106
9.0,110
7.0,114
6.5,118
6.0,118
5.7,115
6.2,111
7.5,112
6.7,115
3.9,117
2.3,116
1.3,97
0.7,108
3.3,39
4.2,25
4.0,14
4.1,9
3.8,10
3.0,24
3.8,63
3.8,118
0.7,215
4.6,279
3.8,277
2.5,258
3.4,258
4.2,252
4.0,247
2.8,240
2.0,231
1.3,163
3.6,108
4.2,103
2.7,110
1.1,120
0.8,207
1.1,256
1.2,294
3.5,4
4.9,6
4.8,1
4.6,6
4.3,15
4.3,26
3.9,42
3.7,85
4.2,121
4.0,121
3.9,123
4.0,128
3.9,135
3.7,138
3.2,141
2.5,145
2.0,165
1.6,203
1.5,244
1.1,247
1.5,262
2.4,285
3.5,303
4.1,331
6.4,355
5.5,0
4.2,2
3.2,11
2.7,16
2.9,25
3.7,38
3.8,99
6.2,118
4.4,133
4.6,139
5.0,141
5.5,139
4.5,142
2.9,164
2.1,193
1.3,225
1.2,251
1.1,243
1.0,255
1.8,291
2.2,311
3.2,347
4.9,8
5.5,14
5.0,20
3.9,25
3.5,31
4.0,31
4.2,37
3.4,90
4.4,122
1.7,206
2.7,210
2.0,165
1.6,140
2.3,154
2.2,174
1.9,216
2.1,244
2.3,240
2.8,238
1.1,233
0.8,221
1.5,270
2.8,303
3.7,307
3.9,314
4.6,337
4.5,357
4.1,13
4.3,23
4.0,28
4.0,36
3.9,56
3.3,100
3.2,103
2.5,108
2.4,113
2.7,119
2.3,124
1.5,133
1.1,146
0.8,171
1.0,182
1.2,190
1.4,174
1.3,191
1.4,244
1.8,275
2.1,301
2.8,323
4.8,359
5.6,4
6.0,7
5.7,11
5.0,16
3.9,15
3.6,12
3.0,16
2.8,18
1.3,24
0.6,245
2.3,279
2.5,264
1.7,232
1.8,177
2.5,136
2.4,131
2.4,127
2.5,118
2.5,118
2.8,114
2.7,108
2.6,91
2.7,73
2.7,63
1.2,84
1.6,28
6.8,31
6.0,38
6.4,41
7.1,49
6.5,56
6.0,67
5.1,83
5.0,101
6.0,115
4.4,130
3.8,151
3.6,136
3.9,124
4.5,126
4.9,128
5.0,128
3.2,122
2.2,117
2.0,108
2.0,113
2.0,107
1.3,96
1.4,65
1.1,46
2.7,35
6.3,31
7.1,49
6.4,74
7.0,98
8.3,111
7.9,118
7.4,124
7.2,127
6.7,127
6.5,124
6.4,123
6.4,122
6.5,122
6.4,124
5.6,126
3.5,120
3.1,120
3.0,114
3.0,109
2.9,98
3.1,89
3.3,96
3.7,93
4.6,89
6.3,66
8.0,75
9.4,93
11.0,102
11.3,105
11.4,107
11.2,109
10.9,111
10.5,112
9.8,113
9.0,114
8.1,116
7.0,117
6.3,116
6.5,117
5.4,112
4.2,106
4.5,97
5.6,88
6.5,84
7.1,82
7.6,79
8.1,75
8.7,70
9.1,65
9.9,63
10.8,69
10.9,77
10.9,86
10.7,94
10.4,100
10.3,107
10.0,112
9.4,115
8.4,116
7.6,115
7.0,117
6.4,118
6.0,119
4.1,115
3.2,114
2.8,110
3.0,84
4.2,75
4.5,74
4.0,74
4.8,68
7.3,57
7.5,55
8.7,58
9.9,70
10.1,83
10.2,93
10.3,100
10.2,102
10.7,106
10.8,109
10.7,110
10.4,110
10.0,110
9.3,111
8.2,113
6.6,116
3.8,119
3.3,117
2.6,108
2.2,93
3.1,80
3.2,80
4.5,63
8.4,45
8.1,48
8.8,49
9.5,52
9.8,58
9.0,69
8.2,75
