time,price
4249,10766.00
4250,10766.00
4251,10766.00
4252,10766.00
4253,10766.00
4254,8899.94
4255,8848.38
4256,10766.00
4257,10766.00
4258,9828.10
4259,8736.28
4260,9377.85
4261,10766.00
4262,10766.00
4263,10766.00
4264,10766.00
4265,10766.00
4266,10766.00
4267,10766.00
4268,10766.00
4269,10766.00
4270,10766.00
4271,10766.00
4272,10766.00
4273,10766.00
4274,10766.00
4275,10766.00
4276,10766.00
4277,10766.00
4278,10766.00
4279,10766.00
4280,10766.00
4281,10766.00
4282,8838.00
4283,8765.18
4284,10766.00
4285,10766.00
4286,10766.00
4287,10766.00
4288,10766.00
4289,10766.00
4290,10766.00
4291,10766.00
4292,10766.00
4293,10766.00
4294,10766.00
4295,10766.00
4296,10766.00
4297,10766.00
4298,10766.00
4299,10766.00
4300,10766.00
4301,10766.00
4302,10766.00
4303,9542.23
4304,8881.18
4305,8881.18
4306,8757.96
4307,7975.11
4308,7838.94
4309,10766.00
4310,10766.00
4311,9357.06
4312,10766.00
4313,10345.07
4314,10766.00
4315,10766.00
4316,10766.00
4317,10766.00
4318,10766.00
4319,10766.00
4320,10792.43
4321,10792.43
4322,10792.43
4323,10792.43
4324,10792.43
4325,10792.43
4326,9187.11
4327,7614.30
4328,7197.57
4329,7100.60
4330,7115.59
4331,7115.59
4332,7085.61
4333,7215.04
4334,7466.93
4335,9315.52
4336,10792.43
4337,10374.46
4338,8699.38
4339,8699.38
4340,8699.38
4341,9401.83
4342,10792.43
4343,10792.43
4344,10792.43
4345,10792.43
4346,8633.39
4347,8616.82
4348,8550.53
4349,8071.57
4350,7318.86
4351,7050.96
4352,6622.17
4353,6324.23
4354,5498.71
4355,4904.34
4356,6324.23
4357,4376.00
4358,4342.98
4359,5601.25
4360,7034.65
4361,7061.07
4362,7258.44
4363,7411.05
4364,7411.05
4365,7527.90
4366,7770.69
4367,8010.49
4368,8714.50
4369,8714.50
4370,8361.26
4371,7619.09
4372,7566.14
4373,7957.60
4374,7640.35
4375,7490.36
4376,7678.12
4377,7559.14
4378,7070.05
4379,7069.33
4380,7069.33
4381,7312.41
4382,7480.94
4383,8001.41
4384,10703.74
4385,10703.74
4386,10703.74
4387,10703.74
4388,10703.74
4389,10703.74
4390,10703.74
4391,10703.74
4392,10703.74
4393,10703.74
4394,10703.74
4395,10703.74
4396,10703.74
4397,10045.33
4398,8528.40
4399,8165.77
4400,7864.92
4401,7659.79
4402,7348.98
4403,7412.86
4404,7003.30
4405,7050.30
4406,7332.34
4407,8528.41
4408,10703.74
4409,10703.74
4410,10703.74
4411,10703.74
4412,10703.74
4413,10703.74
4414,10703.74
4415,10703.74
4416,10703.74
4417,10703.74
4418,10703.74
4419,10703.74
4420,10703.74
4421,10703.74
4422,10703.74
4423,10703.74
4424,10703.74
4425,10703.74
4426,10703.74
4427,10703.74
4428,10703.74
4429,10703.74
4430,10703.74
